Date,Open,High,Low,Close
7/01/2018 17:00,1.2026,1.20277,1.20259,1.20277
7/01/2018 17:05,1.20277,1.20344,1.20271,1.20344
7/01/2018 17:10,1.20343,1.20345,1.20298,1.20304
7/01/2018 17:15,1.20303,1.20317,1.20278,1.2031
7/01/2018 17:20,1.20311,1.20338,1.20311,1.20334
7/01/2018 17:25,1.20325,1.20335,1.20322,1.20335
7/01/2018 17:30,1.20334,1.20336,1.2033,1.2033
7/01/2018 17:35,1.20332,1.20334,1.20282,1.20296
7/01/2018 17:40,1.20296,1.20301,1.20292,1.203
7/01/2018 17:45,1.20301,1.20313,1.20301,1.20312
7/01/2018 17:50,1.20311,1.20311,1.20308,1.20308
7/01/2018 17:55,1.20308,1.20321,1.20305,1.20311
7/01/2018 18:00,1.20313,1.20375,1.20313,1.20375
7/01/2018 18:05,1.20371,1.20377,1.2035,1.20355
7/01/2018 18:10,1.20357,1.20358,1.2035,1.20352
7/01/2018 18:15,1.20353,1.20359,1.2035,1.20354
7/01/2018 18:20,1.20352,1.20388,1.20349,1.20384
7/01/2018 18:25,1.20383,1.20385,1.2037,1.20379
7/01/2018 18:30,1.20377,1.20379,1.20367,1.20369
7/01/2018 18:35,1.20368,1.2037,1.20361,1.20366
7/01/2018 18:40,1.20366,1.2038,1.20366,1.2038
7/01/2018 18:45,1.20381,1.20384,1.20345,1.20362
7/01/2018 18:50,1.20362,1.20368,1.20357,1.20368
7/01/2018 18:55,1.2037,1.20373,1.20366,1.2037
7/01/2018 19:00,1.20369,1.20376,1.20365,1.20373
7/01/2018 19:05,1.20373,1.20377,1.20366,1.20366
7/01/2018 19:10,1.20368,1.20378,1.20349,1.20351
7/01/2018 19:15,1.20352,1.2037,1.2035,1.2037
7/01/2018 19:20,1.2037,1.20374,1.20331,1.20355
7/01/2018 19:25,1.20357,1.20367,1.20356,1.20365
7/01/2018 19:30,1.20365,1.20371,1.20359,1.2037
7/01/2018 19:35,1.20371,1.20376,1.20369,1.2037
7/01/2018 19:40,1.20369,1.20371,1.20364,1.2037
7/01/2018 19:45,1.20369,1.2043,1.20368,1.2043
7/01/2018 19:50,1.2043,1.20432,1.20405,1.20417
7/01/2018 19:55,1.20418,1.20448,1.20416,1.20425
7/01/2018 20:00,1.20426,1.20447,1.20416,1.20427
7/01/2018 20:05,1.20428,1.20465,1.20416,1.20465
7/01/2018 20:10,1.20465,1.20488,1.20444,1.20476
7/01/2018 20:15,1.20478,1.20487,1.20468,1.2048
7/01/2018 20:20,1.20481,1.2049,1.20467,1.20487
7/01/2018 20:25,1.20488,1.20522,1.20465,1.20467
7/01/2018 20:30,1.20468,1.20482,1.20442,1.20466
7/01/2018 20:35,1.20465,1.20465,1.20433,1.20445
7/01/2018 20:40,1.20446,1.20492,1.20445,1.20492
7/01/2018 20:45,1.20491,1.20491,1.2046,1.20465
7/01/2018 20:50,1.20464,1.2047,1.20434,1.20434
7/01/2018 20:55,1.20434,1.20454,1.20428,1.20443
7/01/2018 21:00,1.20443,1.20447,1.20432,1.20435
7/01/2018 21:05,1.20435,1.20466,1.20435,1.20445
7/01/2018 21:10,1.2045,1.20461,1.20435,1.20435
7/01/2018 21:15,1.20437,1.20441,1.20414,1.20414
7/01/2018 21:20,1.20414,1.20414,1.20376,1.20387
7/01/2018 21:25,1.20388,1.20402,1.20384,1.20399
7/01/2018 21:30,1.204,1.204,1.20344,1.20347
7/01/2018 21:35,1.20348,1.20351,1.2033,1.20348
7/01/2018 21:40,1.20349,1.20363,1.2033,1.20353
7/01/2018 21:45,1.20353,1.20353,1.20306,1.20312
7/01/2018 21:50,1.20312,1.20361,1.20312,1.20361
7/01/2018 21:55,1.2036,1.20365,1.2035,1.20359
7/01/2018 22:00,1.20356,1.20356,1.20331,1.20331
